site,date,date_basis,section,source,title,url
google-sites,2026-09-06,listed on the old site,effects,Guardian,Hawaii declares state of emergency as Hurricane Lowell approaches islands,https://www.theguardian.com/us-news/2026/sep/06/hawaii-hurricane-lowell-state-of-emergency
google-sites,2026-09-06,listed on the old site,effects,Reuters,"'Slumping' South Korean corals worry divers, scientists studying climate change",https://www.reuters.com/business/environment/slumping-south-korean-corals-worry-divers-scientists-studying-climate-change-2026-09-07/
google-sites,2026-09-06,listed on the old site,effects,Reuters,"Wildfires, heat waves threaten to undermine air quality, UN weather agency says",https://www.reuters.com/sustainability/cop/wildfires-heat-waves-threaten-undermine-air-quality-un-weather-agency-says-2026-09-07/
google-sites,2026-09-05,listed on the old site,other,NYTimes,"We Can Show You How Much Hotter Summer Has Gotten Where You Live, Editorial Board",https://www.nytimes.com/interactive/2026/09/05/opinion/editorials/extreme-heat-summer.html
google-sites,2026-09-04,listed on the old site,other,[PODCAST] TED Radio Hour,"Less guilt, more joy: A new chapter for climate action",https://open.spotify.com/episode/4hdnPQ9LVVnhhxeuhGUz6d?si=7RxDavU3TG6XyqRjRkDtTQ&utm_source=copy-link&nd=1&dlsi=d4568d7dd122426f
google-sites,2026-07-13,listed on the old site,solutions,Time of India,"Scientists tried to thicken Arctic ice by pumping seawater onto it. The ice did become thicker and brighter, but there is a big catch","https://timesofindia.indiatimes.com/science/scientists-tried-to-thicken-arctic-ice-by-pumping-seawater-onto-it-the-ice-did-become-thicker-and-brighter-but-there-is-a-big-catch/amp_articleshow/132239437.cms?shem=rimspwouohe,"
google-sites,2026-07-06,listed on the old site,effects,ClimateCrisis,US Cities Projected To Become Deserts In 50 Years,"https://www.yahoo.com/news/science/articles/us-cities-projected-become-deserts-131000570.html?shem=dsdf,sharefoc,agadiscoversdl,,sh/x/discover/m1/4"
google-sites,2026-06-30,listed on the old site,effects,BBC,Map shows risk to coastal towns as sea levels rise,"https://www.bbc.com/news/articles/crr8x58edwno?shem=rimspwouohe,"
google-sites,2026-06-25,listed on the old site,causes,ProPublica,Beyond Denial: How Oil Execs Shaped a Landmark Climate Study,https://www.propublica.org/article/wedges-climate-research-bp-fossil-fuel-princeton
google-sites,2026-06-25,listed on the old site,causes,ProPublica,False Promises: Why carbon capture and storage won’t fix our climate crisis,https://projects.propublica.org/why-carbon-capture-cant-solve-climate-change/
